agent_job_audit_id,agent_server_scheduler_id,job_start_dt,job_completed_dt,job_next_run_dt,-,status,pid,rows|sec
"252011645","987","2014-11-20 15:23:18",\N,\N,\N,"PROCESSED_EMAIL","30528","25000"
"252012326","987","2014-11-20 15:24:02",\N,"2014-11-20 15:23:00",\N,"STARTING","5015",\N
"252027678","987","2014-11-20 15:24:02","2014-11-20 15:39:27","2014-11-20 15:39:00",\N,"COMPLETED","5015","925"
"252037279","987","2014-11-20 15:39:00",\N,\N,"2","OVERRUNNING","36115",\N
"252027676","987","2014-11-20 15:39:25",\N,\N,\N,"PROCESSED_EMAIL","5015","25000"
"252028171","987","2014-11-20 15:40:01",\N,"2014-11-20 15:39:00",\N,"STARTING","36115",\N
"252038506","987","2014-11-20 15:40:01","2014-11-20 15:50:15","2014-11-20 15:50:00",\N,"COMPLETED","36115","614"
"252028549","987","2014-11-20 15:40:03",\N,\N,\N,"PROCESSED_EMAIL","36115","11"
"252048163","987","2014-11-20 15:50:00",\N,\N,"2","OVERRUNNING","8344",\N
"252038503","987","2014-11-20 15:50:14",\N,\N,\N,"PROCESSED_EMAIL","36115","24989"
"252039094","987","2014-11-20 15:51:01",\N,"2014-11-20 15:50:00",\N,"STARTING","8344",\N
"252049729","987","2014-11-20 15:51:01","2014-11-20 16:01:17","2014-11-20 16:01:00",\N,"COMPLETED","8344","616"
"252039424","987","2014-11-20 15:51:03",\N,\N,\N,"PROCESSED_EMAIL","8344","11"
"252059375","987","2014-11-20 16:01:00",\N,\N,"2","OVERRUNNING","29069",\N
"252049726","987","2014-11-20 16:01:16",\N,\N,\N,"PROCESSED_EMAIL","8344","24989"
"252050016","987","2014-11-20 16:02:01",\N,"2014-11-20 16:01:00",\N,"STARTING","29069",\N
"252061893","987","2014-11-20 16:02:01","2014-11-20 16:13:12","2014-11-20 16:13:00",\N,"COMPLETED","29069","671"
"252071164","987","2014-11-20 16:13:00",\N,\N,"3","OVERRUNNING","2559",\N
"252061887","987","2014-11-20 16:13:10",\N,\N,\N,"PROCESSED_EMAIL","29069","25000"
"252062138","987","2014-11-20 16:14:01",\N,"2014-11-20 16:13:00",\N,"STARTING","2559",\N
"252072889","987","2014-11-20 16:14:01","2014-11-20 16:24:50","2014-11-20 16:24:00",\N,"COMPLETED","2559","649"
"252082114","987","2014-11-20 16:24:00",\N,\N,"3","OVERRUNNING","23349",\N
"252072886","987","2014-11-20 16:24:49",\N,\N,\N,"PROCESSED_EMAIL","2559","25000"
"252072970","987","2014-11-20 16:25:01",\N,"2014-11-20 16:24:00",\N,"STARTING","23349",\N
"252082894","987","2014-11-20 16:25:01","2014-11-20 16:34:57","2014-11-20 16:34:00",\N,"COMPLETED","23349","596"
"252092360","987","2014-11-20 16:34:00",\N,\N,"2","OVERRUNNING","42328",\N
"252082869","987","2014-11-20 16:34:56",\N,\N,\N,"PROCESSED_EMAIL","23349","25000"
"252083283","987","2014-11-20 16:35:01",\N,"2014-11-20 16:34:00",\N,"STARTING","42328",\N
"252092679","987","2014-11-20 16:35:01","2014-11-20 16:44:31","2014-11-20 16:44:00",\N,"COMPLETED","42328","570"
"252092678","987","2014-11-20 16:44:29",\N,\N,\N,"PROCESSED_EMAIL","42328","25000"
"252092823","987","2014-11-20 16:45:01",\N,"2014-11-20 16:44:00",\N,"STARTING","12591",\N
"252101893","987","2014-11-20 16:45:01","2014-11-20 16:53:20","2014-11-20 16:53:00",\N,"COMPLETED","12591","499"
